Rank, Book_Title, Author
1,The Hunger Games (The Hunger Games  #1),Suzanne Collins
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling
3,Pride and Prejudice,Jane Austen
4,To Kill a Mockingbird,Harper Lee
5,The Book Thief,Markus Zusak (Goodreads Author)
6,Twilight (The Twilight Saga  #1),Stephenie Meyer
7,Animal Farm,George Orwell
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien
9,The Chronicles of Narnia (The Chronicles of Narnia  #1-7),C.S. Lewis
10,The Fault in Our Stars,John Green (Goodreads Author)
11,The Picture of Dorian Gray,Oscar Wilde
12,The Giving Tree,Shel Silverstein
13,Gone with the Wind,Margaret Mitchell
14,Wuthering Heights,Emily Brontë
15,The Perks of Being a Wallflower,Stephen Chbosky
16,Harry Potter and the Sorcerer’s Stone (Harry Potter  #1),J.K. Rowling
17,Jane Eyre,Charlotte Brontë
18,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan (Goodreads Author)
19,The Great Gatsby,F. Scott Fitzgerald
20,The Little Prince,Antoine de Saint-Exupéry
21,The Da Vinci Code (Robert Langdon  #2),Dan Brown (Goodreads Author)
22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll
23,Crime and Punishment,Fyodor Dostoevsky
24,Memoirs of a Geisha,Arthur Golden
25,Divergent (Divergent  #1),Veronica Roth (Goodreads Author)
26,Les Misérables,Victor Hugo
27,Lord of the Flies,William Golding
28,Romeo and Juliet,William Shakespeare
29,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery
30,City of Bones (The Mortal Instruments  #1),Cassandra Clare (Goodreads Author)
31,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams
32,The Help,Kathryn Stockett (Goodreads Author)
33,Dracula,Bram Stoker
34,Ender’s Game (Ender's Saga  #1),Orson Scott Card
35,Charlotte’s Web,E.B. White
36,Of Mice and Men,John Steinbeck
37,The Alchemist,Paulo Coelho (Goodreads Author)
38,Fahrenheit 451,Ray Bradbury
39,The Catcher in the Rye,J.D. Salinger
40,Brave New World,Aldous Huxley
41,One Hundred Years of Solitude,Gabriel García Márquez
42,A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author)
43,The Time Traveler’s Wife,Audrey Niffenegger (Goodreads Author)
44,The Princess Bride,William Goldman
45,The Secret Garden,Frances Hodgson Burnett
46,A Game of Thrones (A Song of Ice and Fire  #1),George R.R. Martin
47,The Outsiders,S.E. Hinton (Goodreads Author)
48,A Wrinkle in Time (Time Quintet  #1),Madeleine L'Engle
49,Little Women,Louisa May Alcott
50,1984,George Orwell
51,The Odyssey,Homer
52,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley
53,The Kite Runner,Khaled Hosseini (Goodreads Author)
54,Harry Potter and the Deathly Hallows (Harry Potter  #7),J.K. Rowling
55,The Lovely Bones,Alice Sebold
56,Where the Wild Things Are,Maurice Sendak
57,The Adventures of Huckleberry Finn,Mark Twain
58,The Giver (The Giver  #1),Lois Lowry (Goodreads Author)
59,The Handmaid’s Tale (The Handmaid's Tale  #1),Margaret Atwood (Goodreads Author)
60,Green Eggs and Ham,Dr. Seuss
61,Life of Pi,Yann Martel
62,A Tale of Two Cities,Charles Dickens
63,Lolita,Vladimir Nabokov
64,Dune (Dune  #1),Frank Herbert
65,Slaughterhouse-Five,Kurt Vonnegut Jr.
66,Water for Elephants,Sara Gruen (Goodreads Author)
67,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling
68,The Bell Jar,Sylvia Plath
69,Matilda,Roald Dahl
70,The Stand,Stephen King (Goodreads Author)
71,Catch-22,Joseph Heller
72,The Pillars of the Earth (Kingsbridge  #1),Ken Follett (Goodreads Author)
73,The Adventures of Sherlock Holmes (Sherlock Holmes  #3),Arthur Conan Doyle
74,Watership Down (Watership Down  #1),Richard  Adams
75,Rebecca,Daphne du Maurier
76,Great Expectations,Charles Dickens
77,Outlander (Outlander  #1),Diana Gabaldon (Goodreads Author)
78,The Girl with the Dragon Tattoo (Millennium  #1),Stieg Larsson
79,The Color Purple,Alice Walker
80,One Flew Over the Cuckoo's Nest,Ken Kesey
81,Anna Karenina,Leo Tolstoy
82,My Sister's Keeper,Jodi Picoult (Goodreads Author)
83,The Brothers Karamazov,Fyodor Dostoevsky
84,A Tree Grows in Brooklyn,Betty  Smith
85,A Clockwork Orange,Anthony Burgess
86,The Road,Cormac McCarthy
87,And Then There Were None,Agatha Christie
88,To Kill a Mockingbird,Harper Lee
89,The Golden Compass (His Dark Materials  #1),Philip Pullman
90,Vampire Academy (Vampire Academy  #1),Richelle Mead (Goodreads Author)
91,Siddhartha,Hermann Hesse
92,It,Stephen King (Goodreads Author)
93,Angela's Ashes (Frank McCourt  #1),Frank McCourt
94,The Shining (The Shining  #1),Stephen King (Goodreads Author)
95,The Complete Stories and Poems,Edgar Allan Poe
96,Interview with the Vampire (The Vampire Chronicles  #1),Anne Rice
97,Don Quixote,Miguel de Cervantes Saavedra
98,The Poisonwood Bible,Barbara Kingsolver
99,The Old Man and the Sea,Ernest Hemingway
100,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling
101,Atlas Shrugged,Ayn Rand
102,The Notebook (The Notebook  #1),Nicholas Sparks (Goodreads Author)
103,Winnie-the-Pooh (Winnie-the-Pooh  #1),A.A. Milne
104,Fahrenheit 451,Ray Bradbury
105,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling
106,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien
107,Moby-Dick or  The Whale,Herman Melville
108,A Prayer for Owen Meany,John Irving (Goodreads Author)
109,Clockwork Angel (The Infernal Devices  #1),Cassandra Clare (Goodreads Author)
110,The Stranger,Albert Camus
111,The Secret Life of Bees,Sue Monk Kidd (Goodreads Author)
112,The Red Tent,Anita Diamant (Goodreads Author)
113,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling
114,The Name of the Wind (The Kingkiller Chronicle  #1),Patrick Rothfuss (Goodreads Author)
115,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien
116,The Master and Margarita,Mikhail Bulgakov
117,The Metamorphosis,Franz Kafka
118,The Hobbit (The Lord of the Rings  #0),J.R.R. Tolkien
119,Middlesex,Jeffrey Eugenides
120,Eragon (The Inheritance Cycle  #1),Christopher Paolini (Goodreads Author)
121,Looking for Alaska,John Green (Goodreads Author)
122,The Adventures of Tom Sawyer,Mark Twain
123,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl
124,The Alchemist,Paulo Coelho (Goodreads Author)
125,The Very Hungry Caterpillar,Eric Carle
126,The Count of Monte Cristo,Alexandre Dumas
127,The Last Olympian (Percy Jackson and the Olympians  #5),Rick Riordan (Goodreads Author)
128,The Curious Incident of the Dog in the Night-Time,Mark Haddon
129,The Shadow of the Wind (The Cemetery of Forgotten Books  #1),Carlos Ruiz Zafón
130,Tuesdays with Morrie,Mitch Albom (Goodreads Author)
131,The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1),C.S. Lewis
132,The Unbearable Lightness of Being,Milan Kundera
133,On the Road,Jack Kerouac
134,The Name of the Rose,Umberto Eco
135,The Godfather (The Godfather  #1),Mario Puzo
136,Where the Red Fern Grows,Wilson Rawls
137,Holes (Holes  #1),Louis Sachar (Goodreads Author)
138,In Cold Blood,Truman Capote
139,The Scarlet Letter,Nathaniel Hawthorne
140,Perfume: The Story of a Murderer,Patrick Süskind
141,Fight Club,Chuck Palahniuk (Goodreads Author)
142,The Five People You Meet in Heaven,Mitch Albom (Goodreads Author)
143,American Gods,Neil Gaiman (Goodreads Author)
144,The Divine Comedy,Dante Alighieri
145,The Cat in the Hat (The Cat in the Hat  #1),Dr. Seuss
146,Watchmen,Alan Moore (Goodreads Author)
147,Hush  Hush (Hush  Hush  #1),Becca Fitzpatrick (Goodreads Author)
148,All Quiet on the Western Front,Erich Maria Remarque
149,The Little House Collection (Little House  #1-9),Laura Ingalls Wilder
150,Lonesome Dove (Lonesome Dove  #1),Larry McMurtry
151,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,Terry Pratchett
152,Peter Pan,J.M. Barrie
153,Six of Crows (Six of Crows  #1),Leigh Bardugo (Goodreads Author)
154,The Addiction Manifesto,Jerry Weaver
155,Love in the Time of Cholera,Gabriel García Márquez
156,Insurgent (Divergent  #2),Veronica Roth (Goodreads Author)
157,A Walk to Remember,Nicholas Sparks (Goodreads Author)
158,The Thorn Birds,Colleen McCullough
159,The Battle of the Labyrinth (Percy Jackson and the Olympians  #4),Rick Riordan (Goodreads Author)
160,The Titan's Curse (Percy Jackson and the Olympians  #3),Rick Riordan (Goodreads Author)
161,The Compleat Works of Wllm Shkspr,Adam Long
162,Shadow Kiss (Vampire Academy  #3),Richelle Mead (Goodreads Author)
163,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
164,How the Grinch Stole Christmas!,Dr. Seuss
165,Clockwork Princess (The Infernal Devices  #3),Cassandra Clare (Goodreads Author)
166,Their Eyes Were Watching God,Zora Neale Hurston
167,The Importance of Being Earnest,Oscar Wilde
